City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
245,Weinfelden,CH,2021-05-28 01:50:13,47.5667,9.1,47.82,94,0,0.67,clear sky
246,Port Blair,IN,2021-05-28 01:45:55,11.6667,92.75,80.64,89,40,0.0,scattered clouds
247,Yulara,AU,2021-05-28 01:50:13,-25.2406,130.9889,53.44,47,100,16.11,overcast clouds
248,Castro,BR,2021-05-28 01:50:13,-24.7911,-50.0119,58.51,87,39,2.59,scattered clouds
249,Parana,AR,2021-05-28 01:50:14,-31.732,-60.5238,63.57,66,100,8.3,overcast clouds
250,Codrington,AU,2021-05-28 01:50:14,-38.2667,141.9667,55.29,54,98,10.11,overcast clouds
251,Charyshskoye,RU,2021-05-28 01:50:15,51.3978,83.5598,51.98,83,77,5.01,broken clouds
252,Mnogovershinnyy,RU,2021-05-28 01:50:15,53.9353,139.9242,53.38,48,59,3.8,light rain
253,Beian,NO,2021-05-28 01:50:15,63.6559,9.5683,45.55,87,20,10.36,few clouds
254,Caravelas,BR,2021-05-28 01:50:16,-17.7125,-39.2481,73.29,84,32,5.39,scattered clouds
255,Channel-Port Aux Basques,CA,2021-05-28 01:50:16,47.5702,-59.1367,42.35,69,3,20.42,clear sky
256,Flinders,AU,2021-05-28 01:50:16,-34.5833,150.8552,63.18,44,37,5.01,scattered clouds
257,Sakaiminato,JP,2021-05-28 01:50:17,35.55,133.2333,75.13,56,20,4.61,few clouds
258,Abu Samrah,SY,2021-05-28 01:50:17,35.3029,37.1841,66.27,60,0,8.43,clear sky
259,Bambanglipuro,ID,2021-05-28 01:50:17,-7.95,110.2833,67.6,73,12,5.35,few clouds
