City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
631,Tarakan,ID,85.5,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
632,Port Hedland,AU,84.25,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
633,Prainha,BR,76.62,overcast clouds,-1.8,-53.48,Casa Rocha
634,Dawlatabad,AF,82.89,few clouds,36.4141,64.9053,WASIM ASGAR KHAN
638,Hays,US,82.31,overcast clouds,30.0502,-98.0336,Sinya on Lone Man Creek
639,Fukuma,JP,78.04,overcast clouds,33.7667,130.4667,Masago
640,Ixtapa,MX,80.22,clear sky,20.7,-105.2,Hotel Plaza Providencia
642,Acajutla,SV,84.79,broken clouds,13.5928,-89.8275,asi es
643,Coahuayana,MX,78.35,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
650,Dothan,US,79.0,clear sky,31.2232,-85.3905,Courtyard by Marriott Dothan
652,Riyadh,SA,86.05,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
653,Carora,VE,76.57,scattered clouds,10.1755,-70.0827,Hotel Irpinia
654,Altay,CN,75.51,clear sky,47.8667,88.1167,Jinqiao Hotel
656,Acapulco,MX,83.07,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
657,Mandera,KE,76.03,scattered clouds,3.9366,41.867,Kornesh Hotel and Lodging
665,Athni,IN,77.72,overcast clouds,16.7333,75.0667,Bhawani tea coffee enterprises
